Sample,X,Y,Z
761,-0.020,0.004,1.043
762,-0.004,0.012,0.992
763,0.027,0.023,1.023
764,0.016,0.027,1.023
765,-0.012,-0.020,1.062
766,0.008,-0.012,1.023
767,0.008,0.031,0.992
768,0.004,0.055,1.020
769,0.043,0.016,0.988
770,-0.023,-0.020,0.980
771,-0.031,0.027,1.016
772,0.047,0.035,1.055
773,0.020,0.043,0.949
774,0.051,0.016,0.965
775,0.012,0.008,1.016
776,-0.004,0.035,1.016
777,-0.020,0.051,1.031
778,-0.004,0.027,1.023
779,-0.020,0.039,0.996
780,0.020,0.039,1.004
781,0.004,0.031,0.988
782,-0.008,0.035,1.039
783,-0.004,0.035,1.008
784,0.016,0.031,1.008
785,0.008,0.047,1.020
786,0.027,0.039,1.039
787,-0.016,0.016,1.031
788,-0.031,0.004,1.027
789,-0.008,0.027,0.988
790,0.020,0.051,1.027
791,0.016,0.062,1.047
792,-0.008,0.039,1.117
793,-0.004,0.023,0.969
794,-0.016,0.039,1.000
795,0.035,0.027,1.020
796,0.031,-0.004,1.020
797,-0.016,-0.012,1.043
798,-0.023,0.008,1.051
799,0.004,0.051,0.996
800,0.020,0.051,0.996
801,0.008,0.020,0.961
802,-0.023,0.020,1.004
803,-0.008,0.012,1.039
804,-0.008,0.031,1.055
805,-0.004,0.004,1.051
806,0.012,-0.008,1.023
807,0.016,-0.012,1.020
808,-0.012,-0.004,1.039
809,-0.016,0.004,1.043
810,-0.020,-0.012,1.012
811,-0.012,0.000,1.008
812,-0.004,0.016,1.039
813,0.000,0.016,1.012
814,-0.004,-0.004,1.047
815,0.004,0.004,1.020
816,0.020,0.004,1.031
817,0.000,-0.004,1.078
818,0.012,-0.043,1.008
819,0.012,-0.039,1.055
820,0.000,-0.035,1.027
821,-0.004,-0.008,1.043
822,-0.027,0.004,0.996
823,-0.008,-0.012,1.023
824,-0.008,0.004,1.035
825,-0.012,0.020,1.074
826,0.031,0.016,1.070
827,-0.004,-0.027,1.031
828,-0.004,-0.051,1.012
829,0.000,-0.039,1.055
830,-0.020,-0.039,1.059
831,0.000,-0.035,1.059
832,-0.008,-0.016,1.012
833,0.031,-0.008,1.039
834,0.012,-0.012,1.055
835,-0.020,-0.027,1.012
836,-0.004,-0.016,1.023
837,0.004,-0.004,1.020
838,0.031,0.000,1.020
839,0.031,-0.012,1.039
840,0.004,-0.027,1.035
841,-0.043,-0.043,1.059
842,0.004,-0.035,1.113
843,0.004,-0.016,1.008
844,-0.027,-0.012,1.020
845,-0.035,-0.012,1.074
846,-0.008,-0.012,1.008
847,0.016,-0.016,1.016
848,0.020,-0.008,1.027
849,0.012,0.000,1.031
850,0.004,-0.031,1.047
851,0.004,-0.023,1.027
852,0.008,-0.004,1.035
853,0.008,0.008,1.023
854,0.004,-0.004,0.977
855,-0.012,-0.008,1.016
856,-0.004,0.000,1.012
857,-0.004,0.004,1.035
858,0.004,0.008,1.051
859,0.020,-0.012,0.996
860,0.000,-0.012,0.992
861,-0.004,0.004,1.027
862,-0.008,0.016,0.992
863,-0.008,0.008,1.000
864,0.000,0.020,0.980
865,0.000,0.035,0.969
866,0.020,0.031,1.102
867,-0.027,0.008,1.082
868,0.008,0.000,0.906
869,0.012,0.035,0.996
870,-0.008,0.027,1.008
871,0.004,0.016,1.051
872,0.012,0.004,1.000
873,0.008,0.012,1.023
874,0.016,0.035,1.031
875,-0.008,0.043,1.012
876,0.016,0.023,0.984
877,-0.012,0.031,1.004
878,0.004,0.055,1.023
879,0.016,0.086,1.035
880,0.008,0.051,0.980
881,0.012,0.031,1.004
882,0.004,0.023,1.020
883,-0.004,0.020,1.062
884,-0.016,0.023,1.047
885,-0.020,0.016,1.016
886,0.016,0.039,1.020
887,0.012,0.062,1.027
888,-0.004,0.062,0.965
889,-0.023,0.047,1.031
890,-0.012,0.051,1.027
891,0.004,0.059,1.012
892,-0.008,0.039,1.008
893,0.004,0.043,0.977
894,0.031,0.016,1.035
895,0.000,0.027,0.969
896,-0.008,0.051,0.977
897,0.020,0.047,1.031
898,0.008,0.020,0.988
899,0.000,0.035,0.996
900,-0.012,0.031,1.031
901,0.004,0.059,0.984
902,-0.008,0.035,1.031
903,-0.004,0.031,1.027
904,-0.016,0.047,1.027
905,-0.012,0.027,1.047
906,-0.004,0.027,1.047
907,-0.008,0.008,1.031
908,-0.004,0.012,0.996
909,0.008,0.020,1.031
910,-0.012,0.031,1.020
911,-0.012,0.031,1.020
912,0.039,0.027,1.031
913,0.000,0.004,0.984
914,0.012,0.023,1.020
915,-0.012,0.000,1.035
916,-0.012,-0.016,1.027
917,0.004,0.004,1.020
918,0.012,-0.008,1.051
919,-0.016,0.020,1.012
920,0.012,0.020,1.000
921,0.004,0.012,1.023
922,-0.004,-0.008,1.027
923,0.012,-0.004,1.012
924,0.031,-0.004,1.043
925,0.008,-0.004,1.016
926,0.008,-0.004,1.016
927,0.004,-0.012,1.059
928,-0.004,-0.004,1.027
929,-0.004,0.004,1.027
930,-0.008,0.016,1.012
931,-0.008,0.008,1.016
932,-0.016,-0.012,1.062
933,0.000,-0.016,1.023
934,0.012,0.004,1.031
935,0.020,0.000,1.020
