Sample,X,Y,Z
718,0.012,-0.008,1.035
719,0.004,0.020,1.027
720,0.012,0.035,1.012
721,0.023,0.031,1.062
722,0.000,0.008,1.098
723,0.020,-0.012,1.027
724,-0.031,-0.016,1.055
725,-0.004,-0.012,1.062
726,-0.016,-0.012,1.020
727,-0.016,-0.004,1.012
728,0.008,0.016,1.004
729,0.023,0.031,1.035
730,0.059,0.027,1.051
731,0.023,0.012,1.043
732,-0.012,0.012,1.074
733,0.004,0.004,1.047
734,0.004,0.004,1.047
735,0.008,0.016,1.012
736,0.023,0.020,1.004
737,0.020,0.016,1.059
738,0.016,0.020,1.000
739,0.027,-0.008,1.020
740,0.020,-0.004,1.043
741,-0.016,-0.004,1.008
742,0.000,0.004,1.020
743,0.016,0.012,0.996
744,-0.012,0.020,0.980
745,-0.004,0.027,1.039
746,0.023,-0.012,1.113
747,0.004,0.008,0.988
748,0.039,0.023,1.023
749,0.020,0.027,1.094
750,0.074,-0.004,1.023
751,0.016,-0.027,1.008
752,0.020,-0.020,1.027
753,0.012,-0.027,1.051
754,0.020,-0.004,1.070
755,0.020,0.023,1.098
756,0.012,0.031,1.035
757,0.020,0.047,1.039
758,0.020,0.066,1.027
759,0.016,0.055,0.992
760,0.008,0.031,0.984
761,-0.004,-0.004,0.996
762,0.004,-0.020,0.965
763,0.039,-0.039,1.012
764,0.023,-0.027,0.996
765,0.027,-0.020,1.043
766,0.031,-0.020,0.988
767,0.023,-0.004,0.980
768,0.035,0.016,1.000
769,0.059,0.027,1.047
770,0.020,0.047,1.051
771,0.020,0.035,0.988
772,0.039,0.031,0.996
773,0.031,0.043,1.055
774,0.020,0.004,1.031
775,0.047,-0.012,1.051
776,0.004,-0.031,1.055
777,0.008,-0.023,1.023
778,0.031,-0.012,0.992
779,0.016,0.004,0.988
780,0.023,0.027,0.996
781,0.023,0.031,0.988
782,0.016,0.047,1.008
783,0.012,0.047,0.996
784,0.020,0.027,1.023
785,0.035,-0.004,1.039
786,0.027,-0.012,1.059
787,0.027,-0.012,1.043
788,0.055,0.008,1.074
789,0.043,0.016,1.055
790,0.039,0.016,1.043
791,0.047,0.027,1.047
792,0.039,0.012,1.055
793,0.016,0.008,1.062
794,-0.012,0.016,1.031
795,-0.020,-0.008,0.973
796,0.039,0.000,1.070
797,0.004,0.027,1.078
798,0.016,0.047,0.957
799,0.000,0.016,1.023
800,-0.012,0.008,0.984
801,-0.004,0.004,1.027
802,0.008,0.008,1.008
803,0.000,0.000,1.051
804,0.008,0.016,1.023
805,0.020,0.020,1.035
806,0.039,0.043,1.031
807,0.062,0.027,1.086
808,0.035,0.008,1.047
809,0.023,0.012,1.020
810,0.016,0.012,1.023
811,0.016,0.004,1.043
812,0.020,0.031,0.996
813,0.020,0.023,1.012
814,0.008,0.020,0.992
815,0.012,0.023,0.996
816,0.008,0.020,1.004
817,0.000,0.000,1.043
818,-0.008,0.008,0.984
819,0.012,0.004,0.969
820,0.016,0.027,0.992
821,-0.004,0.043,1.000
822,-0.016,0.039,0.988
823,-0.004,0.016,1.062
824,0.031,0.008,1.055
825,0.027,0.004,1.090
826,0.004,0.012,1.090
827,0.023,0.016,1.043
828,0.000,0.012,1.023
829,0.035,0.016,1.023
830,0.023,0.031,1.027
831,0.012,0.031,1.023
832,0.000,0.004,0.980
833,0.012,-0.004,1.023
834,-0.004,0.016,0.980
835,0.008,0.035,0.957
836,0.000,0.020,0.945
837,-0.004,0.020,0.977
838,-0.020,0.004,0.969
839,-0.027,0.020,0.992
840,-0.016,0.012,1.066
841,-0.012,-0.031,1.078
842,0.035,-0.012,0.977
843,0.012,0.000,1.078
844,0.004,0.027,1.078
845,0.004,0.020,1.008
846,0.023,0.023,1.047
847,0.000,0.027,1.047
848,-0.008,0.016,1.020
849,-0.012,0.012,1.012
850,-0.008,0.023,1.020
851,-0.004,0.012,1.039
852,-0.012,0.020,1.000
853,-0.016,0.004,1.008
854,0.004,0.008,1.000
855,-0.020,-0.012,0.980
856,-0.027,-0.008,0.996
857,-0.012,0.004,0.984
858,-0.016,0.004,1.027
859,-0.004,0.023,0.996
860,-0.004,0.027,1.023
861,0.004,0.016,1.051
862,0.004,0.020,1.027
863,0.004,0.008,1.047
864,-0.039,0.027,1.070
865,-0.004,0.008,1.098
866,0.004,0.000,1.070
867,-0.027,0.008,0.973
868,-0.012,0.000,1.004
869,0.012,0.023,1.020
870,-0.016,0.020,1.043
871,-0.012,0.008,1.012
872,-0.023,0.000,1.027
873,-0.016,0.012,1.043
874,-0.027,0.020,1.008
875,-0.020,0.016,1.023
876,-0.012,0.012,1.000
877,-0.004,0.027,0.984
878,-0.012,0.012,1.051
879,-0.004,0.004,1.055
880,-0.012,0.000,1.062
881,0.012,0.004,1.023
882,0.016,0.020,1.078
883,0.016,0.031,1.082
884,0.020,0.000,1.047
885,-0.012,0.012,1.023
886,-0.020,0.016,1.055
887,0.020,0.012,1.031
888,-0.016,-0.008,1.023
889,-0.012,0.016,0.992
890,-0.020,0.012,0.953
891,-0.043,-0.004,0.992
892,0.012,0.008,1.047
893,-0.008,0.047,0.957
894,-0.023,0.020,1.016
895,-0.027,-0.004,1.027
896,-0.023,0.008,1.059
897,-0.027,0.020,1.020
898,-0.012,0.008,1.027
899,-0.051,-0.004,1.043
900,-0.027,0.000,1.016
901,0.016,0.023,1.035
902,0.008,0.031,1.023
903,-0.012,0.008,1.059
904,-0.020,0.008,1.059
905,-0.023,0.008,1.016
906,-0.023,0.023,1.012
907,-0.027,0.000,1.008
908,-0.027,0.000,1.047
909,-0.043,0.008,0.969
910,-0.035,0.004,1.012
911,-0.031,0.000,1.027
912,-0.051,0.012,1.070
913,-0.062,-0.023,0.949
914,-0.047,0.004,0.988
915,-0.008,0.027,1.016
916,-0.027,0.027,1.051
917,-0.008,0.012,0.969
918,-0.020,-0.012,1.020
919,-0.027,0.008,1.066
920,-0.020,0.004,1.023
921,-0.039,0.012,1.031
922,-0.039,0.012,1.031
923,-0.020,-0.008,1.051
924,-0.027,0.004,1.016
925,-0.012,0.023,1.008
926,-0.012,0.027,1.008
927,-0.039,0.004,1.016
928,-0.016,0.000,0.973
929,-0.031,0.000,1.012
930,-0.020,0.023,1.023
931,-0.039,0.004,0.984
932,-0.023,0.016,0.988
